AAA	Ansett Australia - Australia	ANSETT
GLN	Air Gulf Falcon PTY Ltd. - Swaziland	GULFALCON
GLO	Gol Transportes AÃ©reos - Brazil	GOL TRANSPORTE
GLP	Siberia	Siberia
GLQ	El Quilada International Aviation - Sudan	QUILADA
GLR	Central Mountain Air - Canada	GLACIER
GLS	Global Airways - Germany	GLOBAL
GLT	Aero Charter - United States	GASLIGHT
GLU	Great Lakes Airways (Uganda) - Uganda	LAKES CARGO
GLW	Global Wings - Japan	UNKNOWN
GLX	London Corporate Jets - GB	GLOBAL EXEC
GMA	Gama Aviation - GB	GAMA
GMC	General Motors - United States	GENERAL MOTORS
GME	Aguilas Mayas Internacional - Guatemala	MAYAN EAGLES
GMG	GM Helicopters - Latvia	GEE-EM HELICOPTERS
GMH	Hughes Aircraft Company - United States	HUGHES EXPRESS
GMI	Germania - Germany	GERMANIA
GMJ	Gamisa Aviacion - Spain	GAMISA
GML	G & L Aviation - South Africa	GEEANDEL
GMM	Aerotaxis Guamuchil - Mexico	AEROGUAMUCHIL
GMS	Aeroservicios Gama - Mexico	SERVICIOS GAMA
GMT	Grupoaereo Monterrey - Mexico	GRUPOMONTERREY
GMX	Golden Aviation de Mexico - MX	GOLDEN MEXICO
GNA	Servicios Aereos Gana - Mexico	SERVIGANA
GNC	Guinea Cargo - Equatorial Guinea	GUINEA CARGO
GND	Grand Airways - United States	GRAND VEGAS
GNF	Gandalf Airlines - Italy	Gandalf
GNJ	Gain Jet Aviation - Greece	HERCULES JET
GNL	135 Airways - United States	GENERAL
GNR	Gambia International Airlines - Gambia	GAMBIA INTERNATIONAL
GNS	Eastern Executive Air Charter - United Kingdom	GENESIS
GNT	Amber Air - Lithuania	GINTA
GNV	General Avia - Armenia	GENERAL AVIA
GNX	Genex - Belarus	UNKNOWN
GNY	German Navy - Germany	GERMAN NAVY
GNZ	General Aviation - Poland	GONZO
GOA	Alberta Government - Canada	ALBERTA
GOB	Dash Aviation - United Kingdom	PILGRIM
GOE	Go Fly Ltd. - United Kingdom	GO-FLIGHT
GOF	Gof-Air - Mexico	GOF-AIR
GOG	Mframa Airlines Limited - Ghana	GOLDWAYS
GOI	Gofir - Switzerland	SWISS HAWK
GOJ	EuroJet Aviation - United Kingdom	GOJET
GOK	Zhayrem Gok - Kazakhstan	ZHAYREM
GOL	Cardolaar - Namibia	CARGOLAAR
GOM	Gomel Airlines - Belarus	GOMEL
GON	Gonini Air Services Ltd. - Suriname	GONINI
GOR	Gorlitsa Airlines - Ukraine	GORLITSA
GOS	Goldfields Air Services - Australia	UNKNOWN
GOT	Walter I Linkoping - Sweden	GOTHIC
GOW	Go Air - India	GOAIR
GPA	Golden Pacific Airlines - United States	GOLDEN PAC
GPC	Gulf Pearl Air Lines - Libya	AIR GULFPEARL
GPD	Tradewind Aviation - United States	GOODSPEED
GPE	GP Express Airlines - United States	REGIONAL EXPRESS
GPL	DLR - Germany	GERMAN POLAR
GPM	Grup Air-Med - Spain	GRUPOMED
GPO	Northern Aviation - GB	GOOSEPOOL
GPR	GPM Aeroservicio - Mexico	GPM AEROSERVICIO
GPS	ABS Avia - Kazakhstan	ALATAU
GRA	Great American Airways - United States	GREAT AMERICAN
GRD	National Grid - United Kingdom	GRID
GRE	Air Scotland - Greece	GREECE AIRWAYS
GRF	Aerogryf - PL	AEROGRYF
GRG	Air Georgia - Georgia	AIR GEORGIA
GRI	Air Cargo Center - Sao Tome and Principe	UNKNOWN
GRL	Air Greenland - Denmark	GREENLAND
GRN	Rio Grande Air - United States	GRANDE
GRO	Allegro - Mexico	ALLEGRO
GRP	Group Flight - USA	GROUP FLIGHT
GRR	Agroar - Trabalhos Aereos - Portugal	AGROAR
GRS	Golden Rule Airlines - Kyrgyzstan	GOLDEN RULE
GRT	Gabon-Air-Transport - Gabon	UNKNOWN
GRV	Vernicos Aviation - Greece	NIGHT RIDER
GRX	Aircompany Grodno - Belarus	GRODNO
GRY	New York State Police - United States	GRAY RIDER
GRZ	Government of Zambia Communications Flight - Zambia	COM FLIGHT
GSA	Garden State Airlines - United States	GARDEN STATE
GSE	Saga, S.A. - Spain	SAGA
GSJ	Grossmann Jet Service - Czech Republic	GROSSJET
GSK	Global Sky Aircharter - United States	GLOBAL SKY
GSL	Geographic Air Surveys - Canada	SURVEY-CANADA
GSM	Flyglobespan - United Kingdom	GLOBESPAN
GSP	Airlift Alaska - United States	GREEN SPEED
GSS	Global Supply Systems - United Kingdom	JET LIFT
GST	Ghana Air Shuttle Ltd. - Ghana	GHANA SHUTTLE
GSV	Agrocentr-Avia - Kazakhstan	AGRAV
GSW	Sky Wings Airlines - Greece	UNKNOWN
GSY	Guard Systems - Norway	GUARD AIR
GTC	Altin Havayolu Tasimaciligi Turizm Ve Ticaret - Turkey	GOLDEN WINGS
GTH	General Aviation Flying Services - United States	GOTHAM
GTI	Atlas Air - United States	GIANT
GTP	Aerotaxi Grupo Tampico - Mexico	GRUPOTAMPICO
GTR	Gestar - Chile	STAR GESTAR
GTS	GATS Guinea, S.A. - Equatorial Guinea	GATS AIR
GTV	Empresa de Aviacion Aerogaviota - Cuba	GAVIOTA
GTW	Multi-Aero, Inc. - United States of America	WEBER
GTX	GTA Air - United States	BIG-DEE
GTY	National Aviation Company - Egypt	UNKNOWN
GUA	Aerotaxis de Aguascalientes - Mexico	AGUASCALIENTES
GUF	Gulf African Airlines - Gambia	GULF AFRICAN
GUG	Aviateca - Guatemala	AVIATECA
GUJ	Gujarat Airways - India	GUJARATAIR
GUL	Gull Air - United States	GULL-AIR
GUM	Gum Air - Suriname	GUM AIR
GUN	Grant Aviation - United States	HOOT
GUS	Guja - Mexico	GUJA
GUY	Air Guyane - French Guiana	GREEN BIRD
GVA	German-Virtual-Airforce - Germany	GERMAN AIRFORCE
GVG	Flygaktiebolaget Gota Vingar - Sweden	BLUECRAFT
GVI	Air Victoria Georgia - Georgia	IRINA
GVN	Gavina - Spain	GAVINA
GVS	Globus Avia - Kazakhstan	GLOVIA
GVX	Geevax Ltd. - United Kingdom	GEEVAX
GWA	Great Western Air - United States	G-W AIR
GWG	German Airwings Holding - Germany	GERMAN AIRWINGS
GWI	Germanwings - Germany	GERMAN WINGS
GWK	General Work Aviacion - GQ	UNKNOWN
GWL	Great Wall Airlines - China	GREAT WALL
GWN	Gwyn Aviation - United Kingdom	GWYN
GWS	General Airways - South Africa	GENAIR
GWX	Societe de Transport de l'Archipel Guadeloupeen (STAG) - MQ	GWAD'EX
GWY	USA3000 Airlines - United States	GETAWAY
GXA	Grixona - Moldova	GRIXONA
GXL	Star XL German Airlines - Germany	STARDUST
GXY	Galaxy Airlines - Japan	GALAX
GYA	Guyana Airways d/b/a Guyana Airways 2000 Inc. - Guyana	GUYAIR
GYM	Gyumru Aviaughiner - Armenia	GYUMRU AVIA
GYP	Eagle Aviation - United Kingdom	GYPSY
GYT	Travelspan - GY	TRAVELSPAN
GZA	Excellent Air - Germany	EXCELLENT AIR
GZD	Grizodubova Air Company - Russia	GRIZODUBOVA AIR
GZP	Gazpromavia - Russia	GAZPROMAVIA
GZT	Gorizont Air - Armenia	GORIZONT AIR
HAA	Helicopteros Agroforestal - Chile	AGROFORESTAL
HAC	Henebury Aviation - Australia	UNKNOWN
HAD	Air D'Ayiti - Haiti	HAITI AVIA
HAF	Hellenic Air Force - Greece	HELLENIC AIR FORCE
HAG	Hageland Aviation Services - United States	HAGELAND
HAH	Air Comores International - Comoros	AIR COMORES
HAI	Century Aviation International - Canada	UNKNOWN
HAJ	Hajvairy Airlines - Pakistan	HAJVAIRY
HAK	Pegasus Helicopters - Norway	HELIFALCON
HAL	Hawaiian Airlines - United States	HAWAIIAN
HAM	Haiti Ambassador Airlines - Haiti	UNKNOWN
HAN	Hansung Airlines - Republic of Korea	HANSUNG AIR
HAP	Helicopteros Aero Personal - Mexico	HELIPERSONAL
HAR	Harbor Airlines - United States	HARBOR
HAS	Honduras Airlines - Honduras	HONDURAS AIR
HAT	Air Taxi - France	TAXI BIRD
HAU	Skyhaul - Japan	SKYHAUL
HAV	Havilah Air Services - Nigeria	HAVILAH
HAW	Bangkok Aviation Center - Thailand	THAI HAWK
HAX	Benair - Norway	SCOOP
HBA	Trail Lake Flying Service - United States	HARBOR AIR
HBC	Haitian Aviation Line - Haiti	HALISA
HBI	CHC Denmark - Denmark	HELIBIRD
HBL	Faroecopter - Denmark	HELIBLUE
HBT	Polizeihubschrauberstaffel Thuringen - Germany	HABICHT
HBU	Universal Avia - Ukraine	KHARKIV UNIVERSAL
HCA	Lake Havasu Air Service - United States	HAVASU
HCB	Helenair (Barbados) - Barbados	HELEN
HCC	Czech Holidays - Czech	CZECH HOLIDAYS
HCL	Helenair Corporation - Saint Lucia	HELENCORP
HCN	Halcyon Air/Bissau Airways - Guinea-Bissau	HALCYON
HCP	Helicopter - Czech Republic	HELI CZECH
HCT	Cat Helicopters - ES	ROTORCAT
HCV	Halcyon Air Cabo Verde - CV	CREOLE
HCY	Helios Airways - Cyprus	HELIOS
HDA	Dragonair, Hong Kong Dragon Airlines - Hong Kong	DRAGON
HDC	Helcopteros De Cataluna - Spain	HELICATALUNA
HDI	Hoteles Dinamicos - Mexico	DINAMICOS
HDR	Helikopterdrift - Norway	HELIDRIFT
HEA	Heliavia-Transporte Aereo - Portugal	HELIAVIA
HEB	Heli Bernina - Switzerland	HELIBERNINA
HEC	Heliservicio Campeche - Mexico	HELICAMPECHE
HED	Herritage Aviation Developments - United Kingdom	FLAPJACK
HEE	Heli Europe - Belgium	HELI-EUROPE
HEI	Aerohein - Chile	AEROHEIN
HEJ	Hellas Jet - Greece	HELLAS JET
HEL	Helicol - Colombia	HELICOL
HEM	CHC Helicopters - Australia	HEMS
HEN	Helicopteros Y Vehiculos Nacionales Aereos - Mexico	HELINAC
HEO	Aircompany Helios - Ukraine	GELAVIATION
HER	Heli-Recif	HELI RECIF
HET	TAF Helicopters - Spain	HELITAF
HEX	Honiara Cargo Express - Solomon Islands	HONIARA CARGO
HFR	Heli France - France	HELIFRANCE
HFY	Hi Fly - Portugal	SKY FLYER
HGA	Hogan Air - United States	HOGAN AIR
HGD	Hangard Aviation - Mongolia	HANGARD
HGH	Atlantic Air Lift - France	HIGHER
HGK	Fika Salaama Airlines - Uganda	SALAAMA
HGR	Hangar 8 - United Kingdom	HANG
HHA	Atlantic Airlines de Honduras - Honduras	ATLANTIC HONDURAS
HHE	Heli-Holland - Netherlands	HELI HOLLAND
HHH	Helicsa - Spain	HELICSA
HHI	Hamburg International - Germany	HAMBURG JET
HHK	Helicopters Hong Kong Limited - Hong Kong	HELIHONGKONG
HHN	Hahn Air - Germany	ROOSTER
HHO	Houston Helicopters - United States	HOUSTON HELI
HHP	Helenia Helicopter Service - Denmark	HELENIA
HHS	Hi-Jet Helicopter Services - Suriname	HIJET
HIA	Canadian Eagle Aviation - Canada	HAIDA
HIB	Helibravo Aviacao - Portugal	HELIBRAVO
HID	Aviacion Ejecutiva De Hildago - Mexico	EJECUTIVA HIDALGO
HIF	Heli-Iberica Fotogrametria - Spain	HIFSA
HIG	Heli-Inter Guyane - France	INTER GUYANNE
HIN	Holding International Group - Mexico	HOLDING GROUP
HIP	Starship - Mexico	STARSA
HIS	Hispaniola Airways - Dominican Republic	HISPANIOLA
HIT	Helitalia - Italy	HELITALIA
HJA	Air Haiti - Haiti	AIRHAITI
HJC	Heathrow Jet Charter Ltd. - United Kingdom	RHIONAIR
HJE	Servicios Ejecutivos Gosa - Mexico	GOSA
HJL	Hamlin Jet - United Kingdom	BIZJET
HJS	Helijet SA - Spain	MAPI
HJT	Al Rais Cargo - United Arab Emirates	AL-RAIS CARGO
HKA	Superior Aviation - United States	SPEND AIR
HKE	Hong Kong Express Airways - Hong Kong SAR of China	HONGKONG SHUTTLE
HKG	Government Flying Service - Hong Kong SAR of China	HONGKONG GOVERNMENT
HKH	Air-Invest - Hungary	HAWKHUNGARY
HKI	Hawkaire - United States	HAWKEYE
HKL	Hak Air - Nigeria	HAK AIRLINE
HKN	Jim Hankins Air Service - United States	HANKINS
HKR	Hawk Air - Argentina	AIR HAW
HKS	CHC Helikopter Service - Norway	HELIBUS
HLA	HC Airlines - United Kingdom	HEAVYLIFT
HLB	High-Line Airways - Canada	HIGH-LINE
HLC	Helicap - France	HELICAP
HLD	Grampian Flight Centre - United Kingdom	GRANITE
HLE	UK HEMS - United Kingdom	HELIMED
HLF	Hapagfly - Germany	HAPAG LLOYD
HLG	Helog - Switzerland	HELOG
HLH	Hala Air - Sudan	HALA AIR
HLI	Heli Securite - France	HELI SAINT-TROPEZ
HLK	Heli-Link - Switzerland	HELI-LINK
HLL	Holiday Airlines - TH	THAI HOLIDAY
HLM	Heli Medwest De Mexico - Mexico	HELIMIDWEST
HLN	Air Holland Leasing II B.V. - Netherlands	ORANGE
HLO	Samaritan Air Service - Canada	HALO
HLP	Helipistas - Spain	HELIPISTAS
HLQ	Harlequin Air Corporation - Japan	HARLEQUIN
HLR	Heli Air Services - Bulgaria	HELI BULGARIA
HLS	Haiti Air Freight - Haiti	UNKNOWN
HLT	Helitafe - Mexico	HELITAFE
HLU	Heli Union Heli Prestations - France	HELI UNION
HLW	Heliworks - Chile	HELIWORKS
HLX	Hapag-Lloyd Express (TUIfly) - Germany	YELLOW CAB
HMA	Air Tahoma - United States	TAHOMA
HMB	CHC Global Operations - CA	HUMMING BIRD
HMC	Heliamerica De Mexico - Mexico	HELIAMERICA
HMD	Charlie Hammonds Flying Service - United States	HAMMOND
HMF	Norrlandsflyg - Sweden	LIFEGUARD SWEDEN
HMM	Hamra Air - United Arab Emirates	HAMRA
HMP	Papair Terminal - Haiti	PAPAIR TERMINAL
HMR	North American Charters - Canada	HAMMER
HMS	Hemus Air - Bulgaria	HEMUS AIR
HMT	Air Nova - Canada	HAMILTON
HMV	Homac Aviation - Luxembourg	HOMAC
HMX	Hawk De Mexico - Mexico	HAWK MEXICO
HMY	Harmony Airways - Canada	HARMONY
HNA	Greek Navy - Greece	HELLENIC NAVY
HNL	CHC Helicopters Netherlands - NL	MAPLELEAF
HNR	Haiti National Airlines (HANA) - Haiti	HANAIR
HNT	Helicopteros Internacionales - Mexico	HELICOP INTER
HOA	Hola Airlines - Spain	HOLA
HOL	Holiday Airlines - United States	HOLIDAY
HOM	Aero Homex - Mexico	AERO HOMEX
HON	Aero Honduras - Honduras	AERO HONDURAS
HOP	Hop ! - France	AIR HOP
HOR	Horizon Air-Taxi - Switzerland	HORIZON
HOZ	Horizontes Aereos - Mexico	HORIZONTES AEREOS
HPA	Pearl Airways - Haiti	PEARL AIRWAYS
HPJ	Hop-A-Jet - United States	HOPA-JET
HPL	Heliportugal - Portugal	HELIPORTUGAL
HPO	Almiron Aviation - Uganda	ALMIRON
HPR	Rick Lucas Helicopters - New Zealand	HELIPRO
HPS	Horizon Plus - Bangladesh	HORIZON PLUS
HPT	Heli-pet - Ukraine	HELI-PET
HQA	Quick Air-Trans Ltd. - Hungary	WILLY TRANS
HQO	Avinor - Norway	UNKNOWN
HRA	Heli-Iberica - Spain	ERICA
HRB	Haiti International Airline - Haiti	HAITI AIRLINE
HRH	Royal Tongan Airlines - Tonga	TONGA ROYAL
HRI	Skyraidybos Mokymo Centras - Lithuania	HELIRIM
HRM	Servicios Aereos Helios, S.L. - Spain	HERMES
HRN	Airwork Ltd. - United Kingdom	CLANSMAN
HRS	Hellas Air Service, S.A. - Greece	HELLAS AIR
HRT	Chartright Air - Canada	CHARTRIGHT
HRZ	Croatian Air Force - Croatia	CROATIAN AIRFORCE
HSA	East African Safari Air - Kenya	DUMA
HSB	Szer-Bon RT - Hungary	SARBON
HSE	Compania Helicopteros Del Sureste - Spain	HELISURESTE
HSI	Heliswiss - Switzerland	HELISWISS
HSK	Sky Europe Airlines - Slovakia	MATRA
HSL	Hispania Lineas Aereas, S.L. - Spain	HISPANIA
HSM	Horizon Air for Transport and Training - Libya	ALOFUKAIR
HSO	Campania Helicopteros De Transporte - Spain	HELIASTURIAS
HSP	International Jet Charter - United States	HOSPITAL
HSR	Citylink Airlines - United States	HOOSIER
HSS	Compania Transportes Aereos Del Sur - Spain	TAS HELICOPTEROS
HSU	Helisul - Portugal	HELIS
HSV	Svenska Direktflyg - Sweden	HIGHSWEDE
HSW	Aerocombi, S.A. - Spain	IBERSWISS
HSY	Sky Helicopteros - Spain	HELISKY
HTA	Helitrans - Norway	SCANBIRD
HTC	Haiti Trans Air - Haiti	HAITI TRANSAIR
HTE	Midwest Helicopters De Mexico - Mexico	HELICOPTERSMEXICO
HTG	Grossmann Air Service - Austria	GROSSMANN
HTI	Haiti International Air - Haiti	HAITI INTERNATIONAL
HTL	Jet Link Aviation - United States	HEARTLAND
HTN	Haiti North Airline - Haiti	UNKNOWN
HTO	Tango Bravo - France	HELI TANGO
HTP	Heli Trip - Mexico	HELI TRIP
HTR	Holstenair Lubeck - Germany	HOLSTEN
HTS	Helitrans Air Service - United States	HELITRANS
HTT	Air Tchad - Chad	HOTEL TANGO
HUB	Hub Airlines - United States	HUB
HUC	Aerloineas de Techuacan - Mexico	LINEAS TEHUACAN
HUD	Horizons Unlimited - United States	HUD
HUF	Hungarian Air Force - Hungary	HUNGARIAN AIRFORCE
HUK	Hungarian-Ukranian Airlines Ltd. - Hungary	BIG BIRD
HUM	Hummingbird Helicopters Maldives (Pvt) Ltd. - Maldives	HUM
HUR	Miami Air Charter - United States	HURRICANE CHARTER
HUS	Huessler Air Service - United States	HUESSLER
HUT	Aerotransportes Huitzilin - Mexico	AEROHUITZILIN
HUV	Hunair Hungarian Airlines - Hungary	SILVER EAGLE
HUY	Aero Transportes Del Humaya - Mexico	AERO HUMAYA
HVA	Hooters Virtual Airlines - USA	HOOTERS
HVK	Turkish Air Force - Turkey	TURKISH AIRFORCE
HVL	Heavylift International - United Arab Emirates	HEAVYLIFT INTERNATIONAL
HVN	Vietnam Airlines - Vietnam	VIET NAM AIRLINES
HVY	Heavylift Cargo Airlines - Australia	HEAVY CARGO
HWD	HPM Investments - United Kingdom	FLITEWISE
HWK	Swazi Air Charter (Pty) Ltd. - Swaziland	HAWK
HWY	Highland Airways - United Kingdom	HIWAY
HXA	China Express Airlines - China	CHINA EXPRESS
HYA	Hyack Air - Canada	HYACK
HYC	Hydro Air Flight Operations - South Africa	HYDRO CARGO
HYD	Hydro-QuÃ©bec - Canada	HYDRO
HYH	Heli Hungary - Hungary	HELIHUNGARY
HYR	Airlink Airways - Ireland	HIGHFLYER
HZA	Horizon Airlines - Australia	UNKNOWN
HZL	Hazelton Airlines - Australia	HAZELTON
HZT	Air Horizon - Togo	HORIZON TOGO
HZX	Citic General Aviation - China	ZHONGXIN
IAA	Indonesian Airlines - Indonesia	INDO LINES
IAC	Indian Airlines - India	INDAIR
IAD	Fly Wex - Italy	FLYWEX
IAE	AC Insat-Aero - Russia	UNKNOWN
IAF	Israeli Air Force - Israel	UNKNOWN
IAG	EPAG Groupe Air France - France	EPAG
IAI	Israel Aircraft Industries - Israel	ISRAEL AIRCRAFT
IAJ	Islandair Jersey - United Kingdom	JARLAND
IAK	International Air Cargo Corporation - Egypt	AIR CARGO EGYPT
IAM	ARA Flugrettungs GmbH - AT	ARA-AMBULANCE
IAN	Compania Interandina de Aviacion - Colombia	INTERANDES
IAR	Iliamna Air Taxi - United States	ILIAMNA AIR
IAS	International Air Service - United States	STARFLEET
IAT	AIT Aviation - Israel	AIT
IAV	Island Aviation Ltd. - United Kingdom	ISLAND FLYER
IAW	Iraqi Airways - Iraq	IRAQI
IAX	International Air Services - Liberia	INTERAIR SERVICES
IAY	Deadalos Flugtbetriebs - Austria	IASON
IBB	Binter Canarias - Spain	UNKNOWN
IBC	Ibicenca Air - Spain	IBICENCA
IBE	Iberia Airlines - Spain	IBERIA
IBJ	Air Taxi and Charter International - ES	IBERTAXI
IBL	IBL Aviation - Mauritius	CATOVAIR
IBR	Ibertour Servicios Aereos - Spain	IBERTOUR
IBT	Ibertrans Aerea - Spain	IBERTRANS
IBU	Indigo - United States	INDIGO BLUE
IBX	Ibex Airlines - Japan	IBEX
IBY	International Business Aircraft - United States	CENTRAL STAGE
IBZ	International Business Air - Sweden	INTERBIZ
ICA	CityAir	CityAir
ICB	Icebird Airline - Iceland	ICEBIRD
ICC	Instituto Cartografico de Cataluna - Spain	CARTO
ICD	Icaro - Ecuador	ICARO
ICE	Icelandair - Iceland	ICEAIR
ICF	Inter-Cargo Service - Uzbekistan	INTERCARGO
ICG	Icelandic Coast Guard - Iceland	ICELAND COAST
ICJ	Icejet - Iceland	ICEJET
ICL	CAL Cargo Air Lines - Israel	CAL
ICM	Air Inter Cameroun - Cameroon	INTER-CAMEROUN
ICN	Inter-Canadian - Canada	INTER-CANADIAN
ICP	Intercopters - Spain	CHOPER
ICR	Eagle Aero - United States	ICARUS FLIGHTS
ICS	International Charter Services - Mexico	INTERSERVI
ICT	Intercontinental de Aviaciï¿½n - Colombia	CONTAVIA
ICV	Cargolux Italia - Italy	CARGOLUX ITALIA
ICX	International Charter Xpress - United States	INTEX
IDA	Indonesia Air Transport - Indonesia	INTRA
IDC	Indice Air - Spain	INDICE
IDE	Independence Air - United States	INDEPENDENCE AIR
IDG	IDG Technology Air - Czech Republic	INDIGO
IDL	Ildefonso Redriguez - Mexico	ILDEFONSO
IDP	Independent Air Freighters - Australia	INDEPENDENT
IDR	Indicator Company - Hungary	INDICATOR
IDT	Illinois Department of Transportation - US	IDOT
IEA	Intermediacion Aerea S.L., Compania Aerea - Spain	INTERMED
IEP	Elipiu' - Italy	ELIPIU
IES	Inter-Island Air Services Ltd. - Grenada	INTER ISLAND
IFA	FAI Airservice - Germany	RED ANGLE
IFC	International Flightsim Convention - United Kingdom	IFC
IFF	Interfreight Forwarding - Sudan	INTERFREIGHT
IFI	Air Lift - Greece	HELLAS LIFT
IFL	IFL Group - United States	EIFEL
IFS	Italy First - Italy	RIVIERA
IFT	Interflight - United Kingdom	INTERFLIGHT
IFX	International Flight Training Academy - United States	IFTA
IGA	Skytaxi - Poland	IGUANA
IGN	Interguide Air - Nigeria	DIVINE AIR
IGO	IndiGo Airlines - India	IFLY
IGS	Isle Grande Flying School - United States	ISLA GRANDE
IHE	Interjet Helicopters - Greece	INTERCOPTER
IHS	Thryluthjonustan - Iceland	UNKNOWN
IIA	Interamericana de Aviacon Ltda. - Colombia	INTERAMERICANA
IIG	International Company for Transport, Trade and Public Works - Libya	ALDAWLYH AIR
IIL	India International Airways - India	INDIA INTER
IIN	Inter Islands Airlines - Cape Verde	UNKNOWN
IJA	International Jet Aviation Services - United States	I-JET
IJE	Ivoire Jet Express - Ivory Coast	IVOIRE JET
IJM	IJM International Jet Management - Austria	JET MANAGEMENT
IJO	Air Miles - GR	AIR MILES
IJS	Silvair - United States	UNKNOWN
IJT	InteliJet Airways - Colombia	INTELIJET
IKA	Itek Air - Kyrgyzstan	ITEK-AIR
IKK	IKI International Airlines - Japan	IKIAIR
IKM	Aero Survey - Ghana	GHANA SURVEY
IKN	IKON FTO - Germany	IKON
IKR	Ikaros DK - Denmark	IKAROS
IKT	National Aircompany Sakha Avia - Russian Federation	SAKHA-AVIA
IKY	Intersky - Bulgaria	GENERAL SKY
ILA	Islena de Aviacion - Colombia	ISLENA
ILC	Island Link - Japan	UNKNOWN
ILF	Island Air Charters - United States	ISLAND FLIGHT
ILK	Aero Airline - Kazakhstan	ILEK
ILL	Ilyich-Avia - Ukraine	ILYICHAVIA
ILN	Interair South Africa - South Africa	INLINE
ILP	Ilpo Aruba Cargo - Aruba	UNKNOWN
ILS	Servicios Aereos Ilsa - Mexico	SERVICIOS ILSA
ILV	Il-Avia - Russia	ILAVIA
ILX	Aero Airline PLC - Kazakhstan	ILEK
IMA	Inter-Mountain Airways - United States	INTER-MOUNTAIN
IME	Airtime Charters - United Kingdom	AIRTIME
IMG	ImaginAir - Canada	IMG
IML	Island Air Limited - Fiji	MAL AIR
IMN	Aerotaxis Cimarron - Mexico	TAXI CIMARRON
IMP	Hellenic Imperial Airways - GR	IMPERIAL
IMR	Imaer - Portugal	IMAER
IMS	Air Images - United Kingdom	IMAGES
IMT	Imtrec Aviation - Cambodia	IMTREC
IMX	Zimex Aviation - Switzerland	ZIMEX
INA	Aero International - Mexico	AERO-NACIONAL
INC	Insel Air International - Netherlands Antilles	INSELAIR
IND	Iona National Airways - Ireland	IONA
INF	Inter Flight Ltd Oy - Finland	INTERFIN
ING	Aeroingenieria - Chile	AEROINGE
INJ	Interjet - GR	INJET
INK	Sincom-Avia - Ukraine	SINCOM AVIA
INL	Intal Avia - Kyrgyzstan	INTAL AVIA
INO	Aeroservicios Intergrados de Norte - Mexico	INTENOR
INP	Peruvian Navy - Peru	UNKNOWN
INR	Inter Air - SE	INTERAIR
INS	Inflite The Jet Centre - United Kingdom	UNKNOWN
INT	Intair - Canada	INTAIRCO
INU	Flyguppdraget Backamo - Sweden	INSTRUCTOR
INV	Inversija - Latvia	INVER
INX	Inter Express - Turkey	INTER-EURO
IOA	Iowa Airways - United States	IOWA AIR
IOI	Atal Milano Srl - Italy	ATALMILANO
IOM	Island Aviation and Travel - United Kingdom	ISLE AVIA
IOS	Isles of Scilly Skybus - United Kingdom	SCILLONIA
IPA	IPEC Aviation - Australia	IPEC
IPL	Airpull Aviation - Spain	IPULL
IPM	IPM Europe - United Kingdom	SHIPEX
IPN	Industri Pesawat Terbang Nusantara - Indonesia	NUSANTARA
IPR	Independent Carrier (ICAR) - Ukraine	AIR ICAR
IPT	Interport Corporation - United States	INTERPORT
IPU	Impulse Airlines Pty Limited - Australia	IMPULSE
IQQ	Caribbean Airways - Barbados	CARIBJET
IRA	Iran Air - Iran	IRANAIR
IRB	Iranair Tours - Iran	UNKNOWN
IRC	Iran Aseman Airlines - Iran	UNKNOWN
IRD	Arvand Airlines - Iran	ARVAND
IRE	Pariz Air - Iran	PARIZAIR
IRF	TA-Air Airline - Iran	TA-AIR
IRG	Naft Air Lines - Iran	NAFT
IRH	Atlas Aviation Group - Iran	ATLAS AVIA
IRI	Navid - Iran	NAVID
IRJ	Bonyad Airlines - Iran	BONYAD AIR
IRK	Kish Air - Iran	KISHAIR
IRL	Irish Air Corps - Ireland	IRISH
IRM	Mahan Air - Iran	MAHAN AIR
IRO	CSA Air - United States	IRON AIR
IRP	Payam Air - Iran	PAYAMAIR
IRQ	Qeshm Air - Iran	QESHM AIR
IRR	Tara Air Line - Iran	TARAIR
IRS	Sirius - Ukraine	SIRIUS
IRT	Irtysh Airlines - Uzbekistan	IRTYSH AIRLINES
IRU	Chabahar Airlines - Iran	CHABAHAR
IRV	Safat Airlines - Iran	SAFAT AIR
IRW	Aram Airline - Iran	ARAM
IRX	Aria Tour - Iran	ARIA
IRY	Eram Air - Iran	ERAM AIR
IRZ	Saha Airlines Services - Iran	SAHA
ISA	Island Airlines, Inc. - United States of America	ISLAND
